"product_name","last_stock_date","warehouse_id","stock"
"Pet GPS Tracker","2023-10-10",1,1
"Children’s Puzzle","2023-02-23",1,1
"Sports Massage Roller","2023-08-04",1,1
"Tennis Set","2022-07-08",1,1
"Kid’s Beach Tent","2022-09-26",1,1
"Archery Set","2022-07-05",1,1
"Pet Water Fountain","2022-08-01",1,1
"Pet Gate","2022-05-17",1,2
"Magic Markers Set","2023-02-21",1,2
"Remote-Controlled Helicopter","2023-06-27",1,2
"Outdoor Playhouse","2022-05-03",1,2
"Stuffed Animal Set","2023-01-07",1,2
"Catnip Toys","2022-11-22",1,3
"Dog Cooling Vest","2022-12-05",1,3
"Pet Raincoat","2023-11-05",1,3
"Sports Water Bottle","2022-09-30",1,3
"Pet First Aid Kit","2022-03-16",1,4
"Pet Thermometer","2023-08-20",1,4
"Bicycle Pump","2023-10-26",1,4
"Cat Food","2023-07-25",1,4
"Hiking Poles","2022-01-15",1,4
"Dog Bowls with Stand","2023-01-26",1,5
"Cat Wand Toy","2023-10-28",1,5
"Remote Control Helicopter","2023-07-30",1,5
"Pet Odor Neutralizer","2023-05-06",1,5
"Paddle Ball","2023-05-15",1,5
"Baseball Batting Tee","2022-11-14",1,5
"Dog Travel Bowl","2022-11-04",1,5
"Mini Basketball Hoop","2023-11-16",1,5
"Giant Jenga","2023-08-24",1,6
"Electronic Drum Set","2022-03-05",1,6
"Remote-Controlled Boat","2023-03-05",1,6
"Pet Blanket","2022-10-30",1,7
"Inflatable Pool","2022-11-16",1,7
"Dog Bone","2022-10-01",1,7
"Kid’s Swing Set","2022-01-11",1,7
"Ride-On Car","2022-03-12",1,7
"Hot Wheels Cars","2023-12-12",1,7
"Remote-Controlled Car Set","2022-12-08",1,7
"Inflatable Slide","2022-08-12",1,7
"Pet Toothbrush","2023-04-02",1,7
"Cat Playhouse","2022-01-05",1,8
"Dog Training Collar","2022-05-04",1,8
"Beach Ball","2023-09-07",1,8
"Pet Training Mat","2022-11-26",1,8
"Play Kitchen Set","2022-03-21",1,8
"Pet Litter Mat","2023-05-10",1,8
"Kids’ Baseball Mitt","2022-06-08",1,9
"Frisbee","2023-01-10",1,9
"Kid’s Yoga Mat","2022-07-09",1,9
"Dog Pool","2023-08-08",1,9
